Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"A Lakhan, MA Dootio, AH Sodhro, S Pirbhulal…","Cost-efficient service selection and execution and blockchain-enabled serverless network for internet of medical things",2021,"","ntnuopen.ntnu.no","https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/3037377","https://scholar.google.com/scholar?cites=13863221001974341749&as_sdt=2005&sciodt=0,5&hl=en",486,"2023-11-04 14:24:16","","","","",,,,,29,14.50,6,5,2,"… serverless computing for containerbased architectures and building a chatbot with serverless … The IoMT based on serverless computing for the mobile edge and transient fault aware …","https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/3037377/Lakhan.pdf?sequence=1","https://scholar.google.com/scholar?q=related:dWBqAQ0OZMAJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
14,"A Lakhan, MA Mohammed, AN Rashid…","Restricted Boltzmann machine assisted secure serverless edge system for internet of medical things",2022,"IEEE Journal of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9784882/","https://scholar.google.com/scholar?cites=10105141728757962612&as_sdt=2005&sciodt=0,5&hl=en",457,"2023-11-04 14:24:16","","","","",,,,,14,14.00,4,4,1,"… serverless architectures did not consider the homomorphic security, and services composition and restricted Boltzmann machine aware serverless … a novel secure serverless edge …","","https://scholar.google.com/scholar?q=related:dFeY69ysPIwJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
21,"A Mahgoub, EB Yi, K Shankar, E Minocha…","Wisefuse: Workload characterization and dag transformation for serverless workflows",2022,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3530892","https://scholar.google.com/scholar?cites=11293389766589776845&as_sdt=2005&sciodt=0,5&hl=en",275,"2023-11-04 14:24:16","","10.1145/3530892","","",,,,,21,21.00,4,5,1,"… The serverless platform, however, executes each function in the DAG in a separate VM … of supporting serverless workflows, we study production workloads of serverless DAGs of Azure …","https://dl.acm.org/doi/pdf/10.1145/3530892","https://scholar.google.com/scholar?q=related:zYOdYyguupwJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
33,"A Mahgoub, EB Yi, K Shankar, S Elnikety…","{ORION} and the three rights: Sizing, bundling, and prewarming for serverless {DAGs}",2022,"… USENIX Symposium on …","usenix.org","https://www.usenix.org/conference/osdi22/presentation/mahgoub","https://scholar.google.com/scholar?cites=2015061572964914729&as_sdt=2005&sciodt=0,5&hl=en",352,"2023-11-04 14:24:16","","","","",,,,,33,33.00,7,5,1,"… for performance modeling of serverless DAGs to estimate the end-to… We derive insights about serverless DAGs from analysis of … performance variability in serverless DAGs and therefore …","https://www.usenix.org/system/files/osdi22-mahgoub.pdf","https://scholar.google.com/scholar?q=related:KRYdCdPv9hsJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
84,"A Mahgoub, L Wang, K Shankar, Y Zhang…","{SONIC}: Application-aware data passing for chained serverless applications",2021,"2021 USENIX Annual …","s.usenix.org","https://s.usenix.org/acton/ct/2452/s-03c3-2106/Bct/l-sf-rpt-00OG0000004DZPU-368f/l-sf-rpt-00OG0000004DZPU-368f:69/ct2_0/1/lu?sid=TV2%3A0Xdkyf4pg","https://scholar.google.com/scholar?cites=3064984970808566614&as_sdt=2005&sciodt=0,5&hl=en",190,"2023-11-04 14:24:16","HTML","","","",,,,,84,42.00,17,5,2,"The conference papers and full proceedings are available to registered attendees now and will be available to everyone beginning Wednesday, July 14, 2021. Paper abstracts and …","https://s.usenix.org/acton/ct/2452/s-03c3-2106/Bct/l-sf-rpt-00OG0000004DZPU-368f/l-sf-rpt-00OG0000004DZPU-368f:69/ct2_0/1/lu?sid=TV2%3A0Xdkyf4pg","https://scholar.google.com/scholar?q=related:VqP0ipcDiSoJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
6,"A Mahéo, P Sutra, T Tarrant","The serverless shell",2021,"Proceedings of the 22nd International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3491084.3491426","https://scholar.google.com/scholar?cites=15721511184781387070&as_sdt=2005&sciodt=0,5&hl=en",260,"2023-11-04 14:24:16","","10.1145/3491084.3491426","","",,,,,6,3.00,2,3,2,"… Serverless computing is a recent paradigm to program the cloud. It allows to execute user-… serverless. Our software, called the serverless shell (sshell), runs shell scripts on a serverless …","","https://scholar.google.com/scholar?q=related:PqU5XSAHLtoJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
42,"A Mampage, S Karunasekera, R Buyya","A holistic view on resource management in serverless computing environments: Taxonomy and future directions",2022,"ACM Computing Surveys …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510412","https://scholar.google.com/scholar?cites=15328579511466756787&as_sdt=2005&sciodt=0,5&hl=en",80,"2023-11-04 14:24:16","","10.1145/3510412","","",,,,,42,42.00,14,3,1,"… A summary of existing approaches is provided for researchers studying resource management techniques for serverless environments. This study also assists serverless application …","https://arxiv.org/pdf/2105.11592","https://scholar.google.com/scholar?q=related:s4pO9NkNutQJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
4,"A Mampage, S Karunasekera, R Buyya","Deep reinforcement learning for application scheduling in resource-constrained, multi-tenant serverless computing environments",2023,"Future Generation Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X2300047X","https://scholar.google.com/scholar?cites=3364393719996552423&as_sdt=2005&sciodt=0,5&hl=en",494,"2023-11-04 14:24:16","","","","",,,,,4,4.00,1,3,1,"… Serverless computing has sparked a massive interest in both … In serverless systems, the provider is highly motivated to … -tenant nature of the serverless workloads and systems, achieving …","","https://scholar.google.com/scholar?q=related:5xTzVEO6sC4J:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
17,"A Mampage, S Karunasekera…","Deadline-aware dynamic resource management in serverless computing environments",2021,"2021 IEEE/ACM 21st …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9499407/","https://scholar.google.com/scholar?cites=7474825326864543258&as_sdt=2005&sciodt=0,5&hl=en",386,"2023-11-04 14:24:16","","","","",,,,,17,8.50,6,3,2,"Serverless computing enables rapid application … Further, the fine-grained serverless billing model only charges for … for applications deployed in serverless computing environments. The …","https://www.researchgate.net/profile/Anupama-Mampage/publication/355665862_Deadline-aware_Dynamic_Resource_Management_in_Serverless_Computing_Environments/links/624641465e2f8c7a034ee979/Deadline-aware-Dynamic-Resource-Management-in-Serverless-Computing-Environments.pdf","https://scholar.google.com/scholar?q=related:Gq7aDQjqu2cJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
0,"A Moghimi, J Hattori, A Li, M Ben Chikha…","Parrotfish: Parametric Regression for Optimizing Serverless Functions",2023,"Proceedings of the 2023 …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3620678.3624654","",439,"2023-11-04 14:24:16","","10.1145/3620678.3624654","","",,,,,0,0.00,0,5,1,"Serverless computing is a new paradigm that aims to remove the burdens of cloud management from developers. Yet rightsizing serverless … optimality for serverless workloads. In this …","https://cirrus.ece.ubc.ca/papers/socc23_parrotfish.pdf",""
